codcli,marca,colecaoId,colecao,ordem,valor
17184,KIKI,I26,Inverno 2026,4,41168
17184,KIKI,V26,Verão 2026,3,5090
17184,MENINA ANJO,I26,Inverno 2026,4,2698
17184,VALENT,V26,Verão 2026,3,24084
17185,KIKI,I26,Inverno 2026,4,25945
17185,KIKI,V26,Verão 2026,3,6581
17185,KIKI,V27,Verão 2027,6,2190
17185,MENINA ANJO,I26,Inverno 2026,4,569355
17185,MENINA ANJO,V26,Verão 2026,3,25648
17185,VALENT,V27,Verão 2027,6,6
17186,KIKI,I26,Inverno 2026,4,25945
17186,KIKI,V26,Verão 2026,3,5116
17186,KIKI,V27,Verão 2027,6,6
17186,MENINA ANJO,I26,Inverno 2026,4,569355
17187,KIKI,I26,Inverno 2026,4,11612
17187,MENINA ANJO,I26,Inverno 2026,4,21473
17187,VALENT,I26,Inverno 2026,4,30841
17193,KIKI,I26,Inverno 2026,4,3
17193,VALENT,I26,Inverno 2026,4,284480
17195,KIKI,V26,Verão 2026,3,31428
17195,MENINA ANJO,V26,Verão 2026,3,14711
17196,KIKI,I25,Inverno 2025,1,2819
17196,KIKI,T25,Tropical 2025,2,4203
17196,MENINA ANJO,I25,Inverno 2025,1,3144
17201,KIKI,I26,Inverno 2026,4,2176
17202,MENINA ANJO,V27,Verão 2027,6,413073
17202,VALENT,V27,Verão 2027,6,1654
17203,KIKI,V26,Verão 2026,3,69146
17203,VALENT,V26,Verão 2026,3,21720
17205,KIKI,T26,Tropical 2026,5,5
17205,KIKI,V26,Verão 2026,3,14681
17205,VALENT,V26,Verão 2026,3,8786
17206,KIKI,I26,Inverno 2026,4,11543
17206,KIKI,V26,Verão 2026,3,4136
17206,KIKI,V27,Verão 2027,6,29149
17206,MENINA ANJO,I26,Inverno 2026,4,8
17206,MENINA ANJO,V26,Verão 2026,3,4894
17206,MENINA ANJO,V27,Verão 2027,6,2270
17206,VALENT,V27,Verão 2027,6,5753
17208,KIKI,V26,Verão 2026,3,4941
17208,KIKI,V27,Verão 2027,6,7090
17208,MENINA ANJO,I26,Inverno 2026,4,6480
17208,MENINA ANJO,V26,Verão 2026,3,5139
17208,MENINA ANJO,V27,Verão 2027,6,2396
17209,KIKI,I26,Inverno 2026,4,2549
17209,KIKI,T26,Tropical 2026,5,5
17209,KIKI,V26,Verão 2026,3,6109
17211,KIKI,I26,Inverno 2026,4,18533
17211,KIKI,T26,Tropical 2026,5,4581
17211,KIKI,V26,Verão 2026,3,2072
17211,MENINA ANJO,I26,Inverno 2026,4,2846
17211,VALENT,V26,Verão 2026,3,1704
17212,KIKI,V26,Verão 2026,3,8878
17212,MENINA ANJO,V26,Verão 2026,3,2347
17213,KIKI,V26,Verão 2026,3,15916
17213,MENINA ANJO,V26,Verão 2026,3,7675
17213,VALENT,V26,Verão 2026,3,2419
17214,KIKI,V26,Verão 2026,3,23069
17216,KIKI,T26,Tropical 2026,5,9389
17216,KIKI,V26,Verão 2026,3,20520
17216,KIKI,V27,Verão 2027,6,1289592
17216,MENINA ANJO,V26,Verão 2026,3,2473
17216,MENINA ANJO,V27,Verão 2027,6,10066
