codcli,marca,colecaoId,colecao,ordem,valor
17498,KIKI,V26,Verão 2026,3,8906
17498,MENINA ANJO,V26,Verão 2026,3,6056
17499,KIKI,I26,Inverno 2026,4,7459
17499,KIKI,V26,Verão 2026,3,3256
17499,KIKI,V27,Verão 2027,6,6752
17499,MENINA ANJO,V27,Verão 2027,6,10768
17499,VALENT,V27,Verão 2027,6,27422
17500,KIKI,I26,Inverno 2026,4,529634
17500,KIKI,V26,Verão 2026,3,9
17500,KIKI,V27,Verão 2027,6,41659
17500,MENINA ANJO,V27,Verão 2027,6,8948
17500,VALENT,V27,Verão 2027,6,1586
17501,KIKI,I26,Inverno 2026,4,130759
17501,KIKI,V26,Verão 2026,3,54282
17501,KIKI,V27,Verão 2027,6,649203
17501,MENINA ANJO,I26,Inverno 2026,4,152094
17501,MENINA ANJO,V26,Verão 2026,3,23180
17501,MENINA ANJO,V27,Verão 2027,6,15492
17501,VALENT,I26,Inverno 2026,4,2371989
17501,VALENT,V26,Verão 2026,3,54690
17501,VALENT,V27,Verão 2027,6,102070
17502,KIKI,I26,Inverno 2026,4,109366
17502,KIKI,V26,Verão 2026,3,130433
17502,KIKI,V27,Verão 2027,6,7
17502,VALENT,I26,Inverno 2026,4,17447
17502,VALENT,V26,Verão 2026,3,11549
17503,KIKI,I26,Inverno 2026,4,88725
17503,KIKI,V26,Verão 2026,3,34982
17503,KIKI,V27,Verão 2027,6,1704546
17503,MENINA ANJO,I26,Inverno 2026,4,1102818
17503,MENINA ANJO,V26,Verão 2026,3,11122
17503,MENINA ANJO,V27,Verão 2027,6,79629
17503,VALENT,I26,Inverno 2026,4,1186665
17503,VALENT,V27,Verão 2027,6,44169
17504,KIKI,V26,Verão 2026,3,65190
17505,KIKI,V26,Verão 2026,3,4496
17506,KIKI,V26,Verão 2026,3,32549
17506,KIKI,V27,Verão 2027,6,788877
17506,MENINA ANJO,V26,Verão 2026,3,27442
17506,MENINA ANJO,V27,Verão 2027,6,773100
17506,VALENT,V26,Verão 2026,3,9282
17506,VALENT,V27,Verão 2027,6,6
17507,KIKI,V26,Verão 2026,3,14484
17507,MENINA ANJO,V26,Verão 2026,3,9238
17509,KIKI,I26,Inverno 2026,4,12121
17509,KIKI,T26,Tropical 2026,5,4594
17509,KIKI,V26,Verão 2026,3,17102
17509,MENINA ANJO,I26,Inverno 2026,4,1460
17509,MENINA ANJO,V26,Verão 2026,3,5103
17510,KIKI,V26,Verão 2026,3,77264
17510,MENINA ANJO,V26,Verão 2026,3,17699
17511,KIKI,V26,Verão 2026,3,776
17511,MENINA ANJO,V26,Verão 2026,3,14238
17512,KIKI,V26,Verão 2026,3,78182
17512,MENINA ANJO,V26,Verão 2026,3,7593
17513,KIKI,V26,Verão 2026,3,11932
17513,MENINA ANJO,V26,Verão 2026,3,10300
