codcli,profile
10000,EVENTUAL
10002,VIP
10003,EVENTUAL
10004,REGULAR
10008,FREQUENTE
10009,REGULAR
10011,FREQUENTE
10012,EVENTUAL
10013,REGULAR
10014,FREQUENTE
10017,FREQUENTE
10019,EVENTUAL
10020,EVENTUAL
10022,REGULAR
10023,FREQUENTE
10025,FREQUENTE
10026,REGULAR
10028,REGULAR
10031,REGULAR
10032,REGULAR
10033,FREQUENTE
10034,REGULAR
10035,VIP
10038,REGULAR
10045,FREQUENTE
10046,EVENTUAL
10047,REGULAR
10048,REGULAR
10049,REGULAR
10050,REGULAR
10051,REGULAR
10057,EVENTUAL
10058,REGULAR
10059,REGULAR
10060,EVENTUAL
10061,REGULAR
10062,FREQUENTE
10066,FREQUENTE
10067,EVENTUAL
10071,EVENTUAL
10072,REGULAR
10073,EVENTUAL
10074,REGULAR
10077,EVENTUAL
10078,EVENTUAL
10083,EVENTUAL
10085,EVENTUAL
10086,REGULAR
10087,REGULAR
10093,REGULAR
10095,EVENTUAL
10096,FREQUENTE
10097,FREQUENTE
10098,REGULAR
10099,REGULAR
10100,REGULAR
10101,REGULAR
10102,EVENTUAL
10103,EVENTUAL
10104,FREQUENTE
10105,VIP
10106,REGULAR
10107,REGULAR
10108,REGULAR
10110,REGULAR
10111,EVENTUAL
10112,EVENTUAL
10113,EVENTUAL
10115,REGULAR
10116,REGULAR
10118,EVENTUAL
10119,EVENTUAL
10120,EVENTUAL
10121,EVENTUAL
10124,REGULAR
10126,VIP
10127,REGULAR
10129,EVENTUAL
10130,REGULAR
10131,REGULAR
10132,EVENTUAL
10133,REGULAR
10134,VIP
10135,EVENTUAL
10136,EVENTUAL
10137,REGULAR
10141,REGULAR
10142,REGULAR
10143,FREQUENTE
10144,FREQUENTE
10157,REGULAR
10158,EVENTUAL
10159,EVENTUAL
10163,EVENTUAL
10164,REGULAR
10165,REGULAR
10167,EVENTUAL
10168,REGULAR
10169,EVENTUAL
10170,EVENTUAL
10171,EVENTUAL
10172,VIP
10174,EVENTUAL
10175,REGULAR
10177,EVENTUAL
10178,REGULAR
10179,FREQUENTE
10180,FREQUENTE
10183,EVENTUAL
10186,REGULAR
10187,EVENTUAL
10188,EVENTUAL
10189,EVENTUAL
10190,EVENTUAL
10192,EVENTUAL
10193,REGULAR
10194,REGULAR
10196,EVENTUAL
10197,VIP
10198,EVENTUAL
10199,EVENTUAL
10200,REGULAR
10201,EVENTUAL
10202,REGULAR
10203,EVENTUAL
10205,EVENTUAL
10208,EVENTUAL
10209,REGULAR
10210,REGULAR
10211,REGULAR
10214,EVENTUAL
10215,REGULAR
10216,REGULAR
10217,EVENTUAL
10218,REGULAR
10219,REGULAR
10220,VIP
10221,EVENTUAL
10222,REGULAR
10223,EVENTUAL
10225,REGULAR
10232,EVENTUAL
10233,EVENTUAL
10234,REGULAR
10235,EVENTUAL
10236,REGULAR
10237,REGULAR
10238,REGULAR
10239,REGULAR
10240,EVENTUAL
10241,REGULAR
10242,REGULAR
10243,REGULAR
10244,REGULAR
10245,FREQUENTE
10246,REGULAR
10248,REGULAR
10249,EVENTUAL
10250,REGULAR
10251,VIP
10252,REGULAR
10253,REGULAR
10254,REGULAR
10255,REGULAR
10256,FREQUENTE
10257,REGULAR
10258,REGULAR
10259,REGULAR
10260,REGULAR
10261,VIP
10262,EVENTUAL
10266,REGULAR
10267,REGULAR
10268,REGULAR
10269,REGULAR
10270,REGULAR
10271,EVENTUAL
10272,EVENTUAL
10273,EVENTUAL
10276,REGULAR
10277,FREQUENTE
10280,VIP
10281,REGULAR
10282,EVENTUAL
10283,VIP
10284,EVENTUAL
10285,EVENTUAL
10286,EVENTUAL
10288,REGULAR
10290,EVENTUAL
10291,REGULAR
10293,REGULAR
10294,REGULAR
10295,FREQUENTE
10296,REGULAR
10297,EVENTUAL
10298,REGULAR
10299,FREQUENTE
10301,EVENTUAL
10302,EVENTUAL
10304,REGULAR
10305,EVENTUAL
10307,REGULAR
10312,FREQUENTE
10314,VIP
10315,VIP
10316,EVENTUAL
10317,VIP
10318,EVENTUAL
10320,EVENTUAL
10323,FREQUENTE
10324,FREQUENTE
10325,EVENTUAL
10326,VIP
10327,REGULAR
10328,EVENTUAL
10329,VIP
10336,VIP
10337,REGULAR
10338,EVENTUAL
10339,FREQUENTE
10341,VIP
10342,EVENTUAL
10343,REGULAR
10344,VIP
10345,REGULAR
10346,EVENTUAL
10347,VIP
10348,EVENTUAL
10349,EVENTUAL
10355,EVENTUAL
10356,REGULAR
10357,EVENTUAL
10358,EVENTUAL
10359,REGULAR
10360,REGULAR
10361,EVENTUAL
10362,REGULAR
10364,EVENTUAL
10365,EVENTUAL
10366,REGULAR
10367,EVENTUAL
10369,EVENTUAL
10370,REGULAR
10380,REGULAR
10381,FREQUENTE
10382,FREQUENTE
10383,EVENTUAL
10384,EVENTUAL
10385,EVENTUAL
10386,EVENTUAL
10387,EVENTUAL
10389,FREQUENTE
10391,FREQUENTE
10395,REGULAR
10397,VIP
10399,VIP
10400,EVENTUAL
10403,VIP
10404,VIP
10405,EVENTUAL
10406,VIP
10407,EVENTUAL
10408,EVENTUAL
10409,EVENTUAL
10414,REGULAR
10419,FREQUENTE
10421,EVENTUAL
10422,REGULAR
10423,EVENTUAL
10429,EVENTUAL
10430,EVENTUAL
10432,VIP
10433,EVENTUAL
10441,EVENTUAL
10446,REGULAR
10453,REGULAR
10456,EVENTUAL
10459,VIP
10460,VIP
10462,REGULAR
10463,EVENTUAL
10466,EVENTUAL
10470,EVENTUAL
10471,REGULAR
10474,REGULAR
10482,REGULAR
10485,REGULAR
10490,EVENTUAL
10494,VIP
10495,REGULAR
10497,EVENTUAL
10498,FREQUENTE
10499,FREQUENTE
10500,REGULAR
10501,EVENTUAL
10502,EVENTUAL
10504,EVENTUAL
10508,REGULAR
10509,REGULAR
10512,FREQUENTE
10514,EVENTUAL
10515,EVENTUAL
10518,EVENTUAL
10520,REGULAR
10522,EVENTUAL
10523,EVENTUAL
10524,EVENTUAL
10525,EVENTUAL
10529,FREQUENTE
10530,REGULAR
10531,EVENTUAL
10532,EVENTUAL
10535,REGULAR
10536,FREQUENTE
10539,REGULAR
10540,REGULAR
10542,REGULAR
10543,REGULAR
10545,EVENTUAL
10548,FREQUENTE
10551,REGULAR
10552,EVENTUAL
10553,EVENTUAL
10554,REGULAR
10557,EVENTUAL
10558,FREQUENTE
10561,VIP
10562,EVENTUAL
10564,VIP
10565,REGULAR
10566,EVENTUAL
10568,EVENTUAL
10569,EVENTUAL
10576,REGULAR
10579,EVENTUAL
10580,EVENTUAL
10581,REGULAR
10592,REGULAR
10593,REGULAR
10594,EVENTUAL
10595,EVENTUAL
10596,REGULAR
10597,REGULAR
10598,REGULAR
10599,EVENTUAL
10601,FREQUENTE
10603,VIP
10604,REGULAR
10605,REGULAR
10607,REGULAR
10608,FREQUENTE
10609,VIP 3+
10611,VIP
10612,REGULAR
10613,REGULAR
10614,REGULAR
10615,EVENTUAL
10616,EVENTUAL
10617,EVENTUAL
10618,EVENTUAL
10620,REGULAR
10622,REGULAR
10623,REGULAR
10628,FREQUENTE
10630,REGULAR
10632,REGULAR
10634,EVENTUAL
10635,REGULAR
10636,REGULAR
10637,VIP
10638,REGULAR
10640,REGULAR
10641,REGULAR
10644,EVENTUAL
10647,REGULAR
10648,REGULAR
10649,FREQUENTE
10652,EVENTUAL
10653,EVENTUAL
10656,EVENTUAL
10658,REGULAR
10661,EVENTUAL
10662,REGULAR
10663,REGULAR
10665,REGULAR
10667,REGULAR
10672,FREQUENTE
10674,REGULAR
10676,FREQUENTE
10677,REGULAR
10678,EVENTUAL
10682,REGULAR
10683,FREQUENTE
10687,FREQUENTE
10689,REGULAR
10691,FREQUENTE
10694,EVENTUAL
10696,REGULAR
