codcli,profile
2902,FREQUENTE
2905,REGULAR
2913,VIP
2918,REGULAR
2919,EVENTUAL
2920,REGULAR
2921,EVENTUAL
2923,REGULAR
2924,REGULAR
2927,REGULAR
2928,FREQUENTE
2930,FREQUENTE
2931,FREQUENTE
2932,FREQUENTE
2937,REGULAR
2944,REGULAR
2950,FREQUENTE
2955,REGULAR
2968,VIP
2969,VIP
2977,EVENTUAL
2990,FREQUENTE
3054,VIP
3058,FREQUENTE
3061,REGULAR
3062,EVENTUAL
3063,VIP
3065,REGULAR
3067,VIP
3070,REGULAR
3081,FREQUENTE
3104,REGULAR
3105,FREQUENTE
3109,FREQUENTE
3111,REGULAR
3112,VIP
3115,EVENTUAL
3119,REGULAR
3122,VIP
3125,VIP
3126,EVENTUAL
3130,VIP
3142,EVENTUAL
3144,REGULAR
3146,VIP
3148,REGULAR
3149,VIP
3156,REGULAR
3158,REGULAR
3160,FREQUENTE
3161,VIP
3164,FREQUENTE
3169,FREQUENTE
3171,VIP
3176,VIP
3178,REGULAR
3180,REGULAR
3183,EVENTUAL
3186,VIP
3203,FREQUENTE
3205,VIP
3212,EVENTUAL
3213,EVENTUAL
3214,REGULAR
3216,VIP
3223,REGULAR
3225,REGULAR
3229,REGULAR
3231,REGULAR
3232,REGULAR
3234,REGULAR
3236,FREQUENTE
3238,VIP
3240,FREQUENTE
3243,REGULAR
3244,FREQUENTE
3251,VIP
3252,REGULAR
3254,REGULAR
3258,REGULAR
3262,REGULAR
3263,REGULAR
3267,VIP
3268,EVENTUAL
3273,EVENTUAL
3295,VIP
3296,VIP
3297,VIP
3299,VIP
3301,EVENTUAL
3302,VIP
3303,REGULAR
3311,REGULAR
3314,REGULAR
3316,REGULAR
3318,EVENTUAL
3319,EVENTUAL
3323,EVENTUAL
3327,VIP
3335,REGULAR
3336,REGULAR
3340,REGULAR
3347,FREQUENTE
3349,REGULAR
3356,REGULAR
3358,REGULAR
3361,REGULAR
3363,REGULAR
3370,EVENTUAL
3372,REGULAR
3383,REGULAR
3384,FREQUENTE
3385,REGULAR
3388,REGULAR
3390,REGULAR
3391,FREQUENTE
3392,EVENTUAL
3394,REGULAR
3399,REGULAR
3410,NOVO 25
3419,EVENTUAL
3431,FREQUENTE
3432,REGULAR
3433,EVENTUAL
3436,EVENTUAL
3438,VIP
3439,EVENTUAL
3451,VIP
3452,VIP
3456,REGULAR
3464,REGULAR
3465,REGULAR
3475,REGULAR
3478,VIP
3480,VIP
3482,REGULAR
3484,REGULAR
3485,REGULAR
3487,VIP
3491,EVENTUAL
3492,REGULAR
3493,VIP
3495,FREQUENTE
3501,FREQUENTE
3503,REGULAR
3514,REGULAR
3516,VIP
3522,VIP
3528,EVENTUAL
3541,VIP
3542,FREQUENTE
3543,FREQUENTE
3544,FREQUENTE
3545,FREQUENTE
3549,EVENTUAL
3550,FREQUENTE
3551,VIP
3565,FREQUENTE
3572,VIP
3573,REGULAR
3575,REGULAR
3578,VIP
3579,FREQUENTE
3583,REGULAR
3585,VIP
3587,EVENTUAL
3588,EVENTUAL
3591,REGULAR
3592,EVENTUAL
3597,EVENTUAL
3599,REGULAR
3605,REGULAR
3606,REGULAR
3610,FREQUENTE
3611,REGULAR
3620,REGULAR
3621,REGULAR
3628,FREQUENTE
3630,REGULAR
3635,REGULAR
3636,FREQUENTE
3638,REGULAR
3643,REGULAR
3644,VIP
3645,REGULAR
3649,REGULAR
3651,REGULAR
3654,FREQUENTE
3659,REGULAR
3661,FREQUENTE
3671,REGULAR
3678,REGULAR
3680,FREQUENTE
3685,FREQUENTE
3691,VIP
3692,VIP
3695,REGULAR
3696,FREQUENTE
3701,NOVO 24
3704,FREQUENTE
3709,VIP
3712,VIP
3714,EVENTUAL
3715,VIP
3716,VIP
3717,REGULAR
3718,VIP
3720,REGULAR
3721,REGULAR
3730,VIP
3731,VIP
3732,EVENTUAL
3734,REGULAR
3735,FREQUENTE
3736,FREQUENTE
3737,FREQUENTE
3742,FREQUENTE
3744,FREQUENTE
3745,FREQUENTE
3746,REGULAR
3747,FREQUENTE
3748,FREQUENTE
3749,FREQUENTE
3750,VIP
3752,VIP
3753,FREQUENTE
3759,REGULAR
3761,FREQUENTE
3762,FREQUENTE
3763,FREQUENTE
3765,EVENTUAL
3768,REGULAR
3769,EVENTUAL
3773,FREQUENTE
3774,REGULAR
3776,REGULAR
3777,REGULAR
3778,FREQUENTE
3779,FREQUENTE
3782,EVENTUAL
3784,VIP
3787,FREQUENTE
3790,NOVO 25
3791,FREQUENTE
3792,FREQUENTE
3795,REGULAR
3804,NOVO 26
3807,EVENTUAL
3823,REGULAR
3826,REGULAR
3827,REGULAR
3830,VIP
3831,REGULAR
3833,FREQUENTE
3843,EVENTUAL
3847,FREQUENTE
3851,REGULAR
3852,REGULAR
3853,EVENTUAL
3861,VIP
3869,REGULAR
3874,EVENTUAL
3878,VIP
3880,VIP
3890,VIP
3891,EVENTUAL
3895,EVENTUAL
3898,REGULAR
3899,REGULAR
3900,REGULAR
3908,REGULAR
3910,VIP
3912,EVENTUAL
3916,REGULAR
3921,REGULAR
3923,REGULAR
3924,EVENTUAL
3929,REGULAR
3930,REGULAR
3943,VIP
3954,EVENTUAL
3963,REGULAR
3964,REGULAR
3965,REGULAR
3966,REGULAR
3967,FREQUENTE
3971,REGULAR
3978,EVENTUAL
3979,VIP
3981,EVENTUAL
3992,VIP
3998,REGULAR
4001,REGULAR
4004,REGULAR
4010,FREQUENTE
4011,VIP
4016,REGULAR
4019,FREQUENTE
4020,REGULAR
4026,FREQUENTE
4027,REGULAR
4029,VIP
4030,REGULAR
4031,FREQUENTE
4033,FREQUENTE
4034,REGULAR
4035,VIP
4036,VIP
4038,FREQUENTE
4039,FREQUENTE
4040,FREQUENTE
4041,FREQUENTE
4042,FREQUENTE
4049,VIP
4051,VIP
4052,REGULAR
4055,REGULAR
4061,VIP
4063,VIP
4064,REGULAR
4071,VIP
4076,REGULAR
4079,EVENTUAL
4081,REGULAR
4082,FREQUENTE
4083,EVENTUAL
4085,FREQUENTE
4087,REGULAR
4088,VIP
4092,VIP
4093,REGULAR
4097,NOVO 24
4108,VIP
4109,REGULAR
4114,REGULAR
4119,VIP
4120,VIP
4122,FREQUENTE
4123,REGULAR
4132,REGULAR
4133,VIP
4134,VIP
4137,VIP
4146,VIP
4148,FREQUENTE
4151,REGULAR
4157,EVENTUAL
4159,FREQUENTE
4160,REGULAR
4162,EVENTUAL
4163,EVENTUAL
4172,VIP
4176,VIP
4180,NOVO 24
4184,VIP
4185,REGULAR
4186,REGULAR
4193,REGULAR
4195,VIP
4206,NOVO 24
4208,FREQUENTE
4214,VIP
4218,REGULAR
4219,VIP
4220,REGULAR
4221,FREQUENTE
4222,EVENTUAL
4223,FREQUENTE
4226,REGULAR
4228,EVENTUAL
4229,VIP
4230,REGULAR
4233,REGULAR
4235,REGULAR
4237,REGULAR
4238,FREQUENTE
4242,FREQUENTE
4244,EVENTUAL
4245,EVENTUAL
4247,EVENTUAL
4261,VIP
4262,REGULAR
4263,VIP
4264,EVENTUAL
4266,FREQUENTE
4270,VIP
4278,REGULAR
4280,FREQUENTE
4284,FREQUENTE
4285,FREQUENTE
4288,EVENTUAL
4294,VIP
4302,EVENTUAL
4303,REGULAR
4304,REGULAR
4306,VIP
4315,VIP
4319,VIP
4320,REGULAR
4321,REGULAR
4326,FREQUENTE
4330,NOVO 26
4333,VIP
4334,FREQUENTE
4336,REGULAR
4337,FREQUENTE
4342,FREQUENTE
4347,REGULAR
4355,VIP
4368,EVENTUAL
4372,EVENTUAL
4374,VIP
4377,REGULAR
4378,VIP
4382,VIP
4396,FREQUENTE
4397,EVENTUAL
4399,REGULAR
4409,REGULAR
4411,REGULAR
4419,REGULAR
4420,EVENTUAL
4421,EVENTUAL
4423,EVENTUAL
4434,REGULAR
4437,EVENTUAL
4443,VIP
4444,VIP
4458,EVENTUAL
4471,REGULAR
4481,REGULAR
4482,REGULAR
4483,REGULAR
4484,REGULAR
4485,REGULAR
4486,REGULAR
4489,REGULAR
4491,EVENTUAL
4492,REGULAR
4493,REGULAR
4494,REGULAR
4495,REGULAR
4497,REGULAR
4499,EVENTUAL
4504,FREQUENTE
4517,FREQUENTE
4518,EVENTUAL
4519,EVENTUAL
4520,EVENTUAL
4521,REGULAR
4524,REGULAR
4525,REGULAR
4536,VIP
4537,REGULAR
4538,VIP
4540,REGULAR
4542,REGULAR
4549,VIP
4550,REGULAR
4551,REGULAR
4552,REGULAR
4557,EVENTUAL
4558,EVENTUAL
4565,VIP
