codcli,profile
6058,FREQUENTE
6118,EVENTUAL
6146,REGULAR
6171,EVENTUAL
6194,EVENTUAL
6236,REGULAR
6237,EVENTUAL
6267,VIP
6272,REGULAR
6273,REGULAR
6274,REGULAR
6275,REGULAR
6276,EVENTUAL
6277,EVENTUAL
6278,EVENTUAL
6279,EVENTUAL
6291,REGULAR
6299,FREQUENTE
6311,FREQUENTE
6314,REGULAR
6315,FREQUENTE
6316,REGULAR
6323,REGULAR
6330,EVENTUAL
6332,FREQUENTE
6335,REGULAR
6340,VIP
6345,REGULAR
6351,VIP
6354,VIP
6359,FREQUENTE
6360,VIP
6364,FREQUENTE
6371,REGULAR
6374,VIP
6376,VIP
6379,REGULAR
6381,REGULAR
6382,FREQUENTE
6383,REGULAR
6395,VIP
6397,EVENTUAL
6401,REGULAR
6402,FREQUENTE
6403,FREQUENTE
6404,FREQUENTE
6405,EVENTUAL
6406,REGULAR
6407,FREQUENTE
6410,REGULAR
6414,FREQUENTE
6419,VIP
6421,REGULAR
6425,VIP
6435,FREQUENTE
6436,REGULAR
6437,EVENTUAL
6444,VIP
6446,REGULAR
6453,EVENTUAL
6457,REGULAR
6466,FREQUENTE
6472,FREQUENTE
6473,REGULAR
6477,EVENTUAL
6479,VIP
6480,REGULAR
6481,REGULAR
6483,REGULAR
6484,VIP
6493,FREQUENTE
6496,REGULAR
6497,REGULAR
6518,FREQUENTE
6520,REGULAR
6521,REGULAR
6526,REGULAR
6527,REGULAR
6539,REGULAR
6541,REGULAR
6543,VIP
6545,REGULAR
6556,EVENTUAL
6557,REGULAR
6566,REGULAR
6567,REGULAR
6570,NOVO 25
6571,REGULAR
6572,REGULAR
6577,VIP
6583,FREQUENTE
6585,VIP
6589,FREQUENTE
6593,REGULAR
6597,REGULAR
6598,FREQUENTE
6600,FREQUENTE
6601,EVENTUAL
6602,EVENTUAL
6606,EVENTUAL
6608,REGULAR
6615,REGULAR
6618,REGULAR
6619,REGULAR
6630,REGULAR
6634,REGULAR
6635,REGULAR
6640,EVENTUAL
6643,REGULAR
6645,REGULAR
6647,REGULAR
6649,REGULAR
6650,REGULAR
6652,EVENTUAL
6655,REGULAR
6656,FREQUENTE
6657,VIP
6661,EVENTUAL
6675,EVENTUAL
6676,REGULAR
6677,REGULAR
6678,EVENTUAL
6681,EVENTUAL
6683,REGULAR
6685,VIP
6689,VIP
6696,VIP
6697,VIP
6698,VIP
6700,REGULAR
6703,FREQUENTE
6705,REGULAR
6706,VIP
6707,VIP
6710,FREQUENTE
6712,FREQUENTE
6720,REGULAR
6727,FREQUENTE
6728,REGULAR
6729,VIP
6730,VIP
6731,VIP 3+
6743,REGULAR
6745,REGULAR
6746,FREQUENTE
6754,REGULAR
6758,REGULAR
6760,REGULAR
6761,FREQUENTE
6764,REGULAR
6767,VIP
6768,NOVO 24
6772,REGULAR
6774,VIP
6775,VIP
6776,REGULAR
6780,EVENTUAL
6783,REGULAR
6789,VIP
6790,FREQUENTE
6791,EVENTUAL
6793,REGULAR
6798,VIP
6802,REGULAR
6808,REGULAR
6818,EVENTUAL
6822,VIP
6823,FREQUENTE
6824,VIP
6833,EVENTUAL
6835,FREQUENTE
6840,REGULAR
6841,EVENTUAL
6849,FREQUENTE
6850,VIP
6851,VIP
6856,REGULAR
6859,VIP
6861,REGULAR
6863,REGULAR
6864,VIP
6865,REGULAR
6867,EVENTUAL
6873,REGULAR
6874,FREQUENTE
6882,REGULAR
6886,REGULAR
6889,REGULAR
6890,VIP
6897,VIP
6898,REGULAR
6901,REGULAR
6905,REGULAR
6906,EVENTUAL
6910,REGULAR
6917,EVENTUAL
6926,REGULAR
6930,REGULAR
6933,REGULAR
6935,REGULAR
6936,REGULAR
6938,REGULAR
6939,REGULAR
6943,REGULAR
6944,REGULAR
6946,VIP
6947,REGULAR
6949,VIP
6962,EVENTUAL
6963,REGULAR
6966,VIP
6972,REGULAR
6974,VIP
6977,NOVO 24
6980,EVENTUAL
6981,EVENTUAL
6986,VIP
6989,REGULAR
6997,VIP
7004,REGULAR
7015,REGULAR
7017,VIP
7022,FREQUENTE
7040,REGULAR
7042,REGULAR
7043,REGULAR
7044,REGULAR
7045,EVENTUAL
7046,REGULAR
7047,REGULAR
7048,REGULAR
7049,REGULAR
7050,REGULAR
